  -56.0000         0
  -49.0000   12.1244
  -42.0000         0
  -42.0000   24.2487
  -35.0000   12.1244
  -35.0000   36.3731
  -28.0000         0
  -28.0000   24.2487
  -28.0000   48.4974
  -21.0000   12.1244
  -21.0000   36.3731
  -14.0000         0
  -14.0000   24.2487
  -14.0000   48.4974
   -7.0000   12.1244
   -7.0000   36.3731
         0   24.2487
         0   48.4974
    7.0000   12.1244
    7.0000   36.3731
   14.0000   24.2487
   14.0000   48.4974
   21.0000   12.1244
   21.0000   36.3731
   28.0000   24.2487
   28.0000   48.4974
   35.0000   12.1244
   35.0000   36.3731
   42.0000   24.2487
   49.0000   12.1244
